Date,Model,UseCase,TokenCostUSD,InfraCostUSD,LicenseCostUSD,MonitoringCostUSD,StorageCostUSD,BudgetUSD,TotalCostUSD
2025-03-02,Gemini-Pro,Customer Support Bot,14.02,30.0,60.0,10.0,6.67,500.0,120.69
2025-03-02,Gemini-Pro,Data Analysis Tool,5.93,30.0,60.0,10.0,6.67,300.0,112.6
2025-03-03,Claude-3.5,Code Review Assistant,13.68,33.33,66.67,10.0,6.67,333.33,130.35
2025-03-03,Claude-3.5,Content Generation,44.0,33.33,66.67,10.0,6.67,400.0,160.67
2025-03-03,Claude-3.5,Customer Support Bot,19.24,33.33,66.67,10.0,6.67,500.0,135.91
2025-03-03,Claude-3.5,Data Analysis Tool,12.98,33.33,66.67,10.0,6.67,300.0,129.65
2025-03-03,Custom Fine-tuned,Code Review Assistant,7.6,26.67,50.0,10.0,6.67,333.33,100.94
2025-03-03,Custom Fine-tuned,Content Generation,25.99,26.67,50.0,10.0,6.67,400.0,119.33
2025-03-03,Custom Fine-tuned,Customer Support Bot,14.37,26.67,50.0,10.0,6.67,500.0,107.71
2025-03-03,Custom Fine-tuned,Data Analysis Tool,9.6,26.67,50.0,10.0,6.67,300.0,102.94
2025-03-03,GPT-4,Code Review Assistant,16.64,40.0,83.33,10.0,6.67,333.33,156.64
2025-03-03,GPT-4,Content Generation,64.37,40.0,83.33,10.0,6.67,400.0,204.37
2025-03-03,GPT-4,Customer Support Bot,34.46,40.0,83.33,10.0,6.67,500.0,174.46
2025-03-03,GPT-4,Data Analysis Tool,19.16,40.0,83.33,10.0,6.67,300.0,159.16
2025-03-03,Gemini-Pro,Code Review Assistant,9.37,30.0,60.0,10.0,6.67,333.33,116.04
2025-03-03,Gemini-Pro,Content Generation,32.62,30.0,60.0,10.0,6.67,400.0,139.29
2025-03-03,Gemini-Pro,Customer Support Bot,15.61,30.0,60.0,10.0,6.67,500.0,122.28
2025-03-03,Gemini-Pro,Data Analysis Tool,6.1,30.0,60.0,10.0,6.67,300.0,112.77
2025-03-04,Claude-3.5,Code Review Assistant,14.02,33.33,66.67,10.0,6.67,333.33,130.69
2025-03-04,Claude-3.5,Content Generation,34.0,33.33,66.67,10.0,6.67,400.0,150.67
2025-03-04,Claude-3.5,Customer Support Bot,26.77,33.33,66.67,10.0,6.67,500.0,143.44
2025-03-04,Claude-3.5,Data Analysis Tool,6.78,33.33,66.67,10.0,6.67,300.0,123.45
2025-03-04,Custom Fine-tuned,Code Review Assistant,6.08,26.67,50.0,10.0,6.67,333.33,99.42
2025-03-04,Custom Fine-tuned,Content Generation,28.69,26.67,50.0,10.0,6.67,400.0,122.03
2025-03-04,Custom Fine-tuned,Customer Support Bot,9.72,26.67,50.0,10.0,6.67,500.0,103.06
2025-03-04,Custom Fine-tuned,Data Analysis Tool,5.44,26.67,50.0,10.0,6.67,300.0,98.78
2025-03-04,GPT-4,Code Review Assistant,14.25,40.0,83.33,10.0,6.67,333.33,154.25
2025-03-04,GPT-4,Content Generation,58.23,40.0,83.33,10.0,6.67,400.0,198.23
2025-03-04,GPT-4,Customer Support Bot,28.91,40.0,83.33,10.0,6.67,500.0,168.91
2025-03-04,GPT-4,Data Analysis Tool,16.97,40.0,83.33,10.0,6.67,300.0,156.97
2025-03-04,Gemini-Pro,Code Review Assistant,10.41,30.0,60.0,10.0,6.67,333.33,117.08
2025-03-04,Gemini-Pro,Content Generation,26.18,30.0,60.0,10.0,6.67,400.0,132.85
2025-03-04,Gemini-Pro,Customer Support Bot,14.99,30.0,60.0,10.0,6.67,500.0,121.66
2025-03-04,Gemini-Pro,Data Analysis Tool,9.13,30.0,60.0,10.0,6.67,300.0,115.8
2025-03-05,Claude-3.5,Code Review Assistant,14.54,33.33,66.67,10.0,6.67,333.33,131.21
2025-03-05,Claude-3.5,Content Generation,42.1,33.33,66.67,10.0,6.67,400.0,158.77
2025-03-05,Claude-3.5,Customer Support Bot,15.57,33.33,66.67,10.0,6.67,500.0,132.24
2025-03-05,Claude-3.5,Data Analysis Tool,7.85,33.33,66.67,10.0,6.67,300.0,124.52
2025-03-05,Custom Fine-tuned,Code Review Assistant,7.58,26.67,50.0,10.0,6.67,333.33,100.92
2025-03-05,Custom Fine-tuned,Content Generation,26.48,26.67,50.0,10.0,6.67,400.0,119.82
2025-03-05,Custom Fine-tuned,Customer Support Bot,12.78,26.67,50.0,10.0,6.67,500.0,106.12
2025-03-05,Custom Fine-tuned,Data Analysis Tool,5.3,26.67,50.0,10.0,6.67,300.0,98.64
2025-03-05,GPT-4,Code Review Assistant,18.8,40.0,83.33,10.0,6.67,333.33,158.8
2025-03-05,GPT-4,Content Generation,40.88,40.0,83.33,10.0,6.67,400.0,180.88
2025-03-05,GPT-4,Customer Support Bot,25.38,40.0,83.33,10.0,6.67,500.0,165.38
2025-03-05,GPT-4,Data Analysis Tool,15.63,40.0,83.33,10.0,6.67,300.0,155.63
2025-03-05,Gemini-Pro,Code Review Assistant,11.92,30.0,60.0,10.0,6.67,333.33,118.59
2025-03-05,Gemini-Pro,Content Generation,28.73,30.0,60.0,10.0,6.67,400.0,135.4
2025-03-05,Gemini-Pro,Customer Support Bot,14.4,30.0,60.0,10.0,6.67,500.0,121.07
2025-03-05,Gemini-Pro,Data Analysis Tool,9.85,30.0,60.0,10.0,6.67,300.0,116.52
2025-03-06,Claude-3.5,Code Review Assistant,12.07,33.33,66.67,10.0,6.67,333.33,128.74
2025-03-06,Claude-3.5,Content Generation,33.55,33.33,66.67,10.0,6.67,400.0,150.22
2025-03-06,Claude-3.5,Customer Support Bot,15.25,33.33,66.67,10.0,6.67,500.0,131.92
2025-03-06,Claude-3.5,Data Analysis Tool,11.12,33.33,66.67,10.0,6.67,300.0,127.79
2025-03-06,Custom Fine-tuned,Code Review Assistant,6.46,26.67,50.0,10.0,6.67,333.33,99.8
2025-03-06,Custom Fine-tuned,Content Generation,25.16,26.67,50.0,10.0,6.67,400.0,118.5
2025-03-06,Custom Fine-tuned,Customer Support Bot,17.41,26.67,50.0,10.0,6.67,500.0,110.75
2025-03-06,Custom Fine-tuned,Data Analysis Tool,8.66,26.67,50.0,10.0,6.67,300.0,102.0
2025-03-06,GPT-4,Code Review Assistant,17.86,40.0,83.33,10.0,6.67,333.33,157.86
2025-03-06,GPT-4,Content Generation,69.39,40.0,83.33,10.0,6.67,400.0,209.39
2025-03-06,GPT-4,Customer Support Bot,29.73,40.0,83.33,10.0,6.67,500.0,169.73
2025-03-06,GPT-4,Data Analysis Tool,13.23,40.0,83.33,10.0,6.67,300.0,153.23
2025-03-06,Gemini-Pro,Code Review Assistant,7.42,30.0,60.0,10.0,6.67,333.33,114.09
2025-03-06,Gemini-Pro,Content Generation,28.66,30.0,60.0,10.0,6.67,400.0,135.33
2025-03-06,Gemini-Pro,Customer Support Bot,12.15,30.0,60.0,10.0,6.67,500.0,118.82
2025-03-06,Gemini-Pro,Data Analysis Tool,7.85,30.0,60.0,10.0,6.67,300.0,114.52
2025-03-07,Claude-3.5,Code Review Assistant,12.55,33.33,66.67,10.0,6.67,333.33,129.22
2025-03-07,Claude-3.5,Content Generation,37.62,33.33,66.67,10.0,6.67,400.0,154.29
2025-03-07,Claude-3.5,Customer Support Bot,21.45,33.33,66.67,10.0,6.67,500.0,138.12
2025-03-07,Claude-3.5,Data Analysis Tool,12.04,33.33,66.67,10.0,6.67,300.0,128.71
2025-03-07,Custom Fine-tuned,Code Review Assistant,8.85,26.67,50.0,10.0,6.67,333.33,102.19
2025-03-07,Custom Fine-tuned,Content Generation,19.92,26.67,50.0,10.0,6.67,400.0,113.26
2025-03-07,Custom Fine-tuned,Customer Support Bot,12.77,26.67,50.0,10.0,6.67,500.0,106.11
2025-03-07,Custom Fine-tuned,Data Analysis Tool,8.05,26.67,50.0,10.0,6.67,300.0,101.39
2025-03-07,GPT-4,Code Review Assistant,21.39,40.0,83.33,10.0,6.67,333.33,161.39
2025-03-07,GPT-4,Content Generation,49.09,40.0,83.33,10.0,6.67,400.0,189.09
2025-03-07,GPT-4,Customer Support Bot,32.83,40.0,83.33,10.0,6.67,500.0,172.83
2025-03-07,GPT-4,Data Analysis Tool,11.99,40.0,83.33,10.0,6.67,300.0,151.99
2025-03-07,Gemini-Pro,Code Review Assistant,8.17,30.0,60.0,10.0,6.67,333.33,114.84
2025-03-07,Gemini-Pro,Content Generation,25.42,30.0,60.0,10.0,6.67,400.0,132.09
2025-03-07,Gemini-Pro,Customer Support Bot,14.48,30.0,60.0,10.0,6.67,500.0,121.15
2025-03-07,Gemini-Pro,Data Analysis Tool,7.01,30.0,60.0,10.0,6.67,300.0,113.68
2025-03-08,Claude-3.5,Code Review Assistant,8.65,33.33,66.67,10.0,6.67,333.33,125.32
2025-03-08,Claude-3.5,Content Generation,28.82,33.33,66.67,10.0,6.67,400.0,145.49
2025-03-08,Claude-3.5,Customer Support Bot,18.03,33.33,66.67,10.0,6.67,500.0,134.7
2025-03-08,Claude-3.5,Data Analysis Tool,7.46,33.33,66.67,10.0,6.67,300.0,124.13
2025-03-08,Custom Fine-tuned,Code Review Assistant,8.45,26.67,50.0,10.0,6.67,333.33,101.79
2025-03-08,Custom Fine-tuned,Content Generation,24.06,26.67,50.0,10.0,6.67,400.0,117.4
2025-03-08,Custom Fine-tuned,Customer Support Bot,9.2,26.67,50.0,10.0,6.67,500.0,102.54
2025-03-08,Custom Fine-tuned,Data Analysis Tool,4.85,26.67,50.0,10.0,6.67,300.0,98.19
2025-03-08,GPT-4,Code Review Assistant,15.92,40.0,83.33,10.0,6.67,333.33,155.92
2025-03-08,GPT-4,Content Generation,36.64,40.0,83.33,10.0,6.67,400.0,176.64
2025-03-08,GPT-4,Customer Support Bot,29.22,40.0,83.33,10.0,6.67,500.0,169.22
2025-03-08,GPT-4,Data Analysis Tool,13.86,40.0,83.33,10.0,6.67,300.0,153.86
2025-03-08,Gemini-Pro,Code Review Assistant,5.33,30.0,60.0,10.0,6.67,333.33,112.0
2025-03-08,Gemini-Pro,Content Generation,24.76,30.0,60.0,10.0,6.67,400.0,131.43
2025-03-08,Gemini-Pro,Customer Support Bot,16.58,30.0,60.0,10.0,6.67,500.0,123.25
2025-03-08,Gemini-Pro,Data Analysis Tool,8.43,30.0,60.0,10.0,6.67,300.0,115.1
2025-03-09,Claude-3.5,Code Review Assistant,10.7,33.33,66.67,10.0,6.67,333.33,127.37
2025-03-09,Claude-3.5,Content Generation,22.16,33.33,66.67,10.0,6.67,400.0,138.83
2025-03-09,Claude-3.5,Customer Support Bot,19.07,33.33,66.67,10.0,6.67,500.0,135.74
2025-03-09,Claude-3.5,Data Analysis Tool,7.5,33.33,66.67,10.0,6.67,300.0,124.17
2025-03-09,Custom Fine-tuned,Code Review Assistant,7.59,26.67,50.0,10.0,6.67,333.33,100.93
2025-03-09,Custom Fine-tuned,Content Generation,21.37,26.67,50.0,10.0,6.67,400.0,114.71
2025-03-09,Custom Fine-tuned,Customer Support Bot,14.43,26.67,50.0,10.0,6.67,500.0,107.77
2025-03-09,Custom Fine-tuned,Data Analysis Tool,4.51,26.67,50.0,10.0,6.67,300.0,97.85
2025-03-09,GPT-4,Code Review Assistant,19.62,40.0,83.33,10.0,6.67,333.33,159.62
2025-03-09,GPT-4,Content Generation,44.93,40.0,83.33,10.0,6.67,400.0,184.93
2025-03-09,GPT-4,Customer Support Bot,30.31,40.0,83.33,10.0,6.67,500.0,170.31
2025-03-09,GPT-4,Data Analysis Tool,13.51,40.0,83.33,10.0,6.67,300.0,153.51
2025-03-09,Gemini-Pro,Code Review Assistant,9.59,30.0,60.0,10.0,6.67,333.33,116.26
2025-03-09,Gemini-Pro,Content Generation,27.7,30.0,60.0,10.0,6.67,400.0,134.37
2025-03-09,Gemini-Pro,Customer Support Bot,13.67,30.0,60.0,10.0,6.67,500.0,120.34
2025-03-09,Gemini-Pro,Data Analysis Tool,7.92,30.0,60.0,10.0,6.67,300.0,114.59
2025-03-10,Claude-3.5,Code Review Assistant,11.72,33.33,66.67,10.0,6.67,333.33,128.39
2025-03-10,Claude-3.5,Content Generation,25.59,33.33,66.67,10.0,6.67,400.0,142.26
2025-03-10,Claude-3.5,Customer Support Bot,16.41,33.33,66.67,10.0,6.67,500.0,133.08
2025-03-10,Claude-3.5,Data Analysis Tool,7.19,33.33,66.67,10.0,6.67,300.0,123.86
2025-03-10,Custom Fine-tuned,Code Review Assistant,7.28,26.67,50.0,10.0,6.67,333.33,100.62
2025-03-10,Custom Fine-tuned,Content Generation,25.22,26.67,50.0,10.0,6.67,400.0,118.56
2025-03-10,Custom Fine-tuned,Customer Support Bot,13.21,26.67,50.0,10.0,6.67,500.0,106.55
2025-03-10,Custom Fine-tuned,Data Analysis Tool,6.87,26.67,50.0,10.0,6.67,300.0,100.21
2025-03-10,GPT-4,Code Review Assistant,21.1,40.0,83.33,10.0,6.67,333.33,161.1
2025-03-10,GPT-4,Content Generation,34.25,40.0,83.33,10.0,6.67,400.0,174.25
2025-03-10,GPT-4,Customer Support Bot,32.6,40.0,83.33,10.0,6.67,500.0,172.6
2025-03-10,GPT-4,Data Analysis Tool,10.29,40.0,83.33,10.0,6.67,300.0,150.29
2025-03-10,Gemini-Pro,Code Review Assistant,9.79,30.0,60.0,10.0,6.67,333.33,116.46
2025-03-10,Gemini-Pro,Content Generation,29.62,30.0,60.0,10.0,6.67,400.0,136.29
2025-03-10,Gemini-Pro,Customer Support Bot,14.12,30.0,60.0,10.0,6.67,500.0,120.79
2025-03-10,Gemini-Pro,Data Analysis Tool,7.15,30.0,60.0,10.0,6.67,300.0,113.82
2025-03-11,Claude-3.5,Code Review Assistant,12.65,33.33,66.67,10.0,6.67,333.33,129.32
2025-03-11,Claude-3.5,Content Generation,35.99,33.33,66.67,10.0,6.67,400.0,152.66
2025-03-11,Claude-3.5,Customer Support Bot,23.33,33.33,66.67,10.0,6.67,500.0,140.0
2025-03-11,Claude-3.5,Data Analysis Tool,8.49,33.33,66.67,10.0,6.67,300.0,125.16
2025-03-11,Custom Fine-tuned,Code Review Assistant,8.95,26.67,50.0,10.0,6.67,333.33,102.29
2025-03-11,Custom Fine-tuned,Content Generation,31.01,26.67,50.0,10.0,6.67,400.0,124.35
2025-03-11,Custom Fine-tuned,Customer Support Bot,12.08,26.67,50.0,10.0,6.67,500.0,105.42
2025-03-11,Custom Fine-tuned,Data Analysis Tool,7.03,26.67,50.0,10.0,6.67,300.0,100.37
2025-03-11,GPT-4,Code Review Assistant,19.47,40.0,83.33,10.0,6.67,333.33,159.47
2025-03-11,GPT-4,Content Generation,47.9,40.0,83.33,10.0,6.67,400.0,187.9
2025-03-11,GPT-4,Customer Support Bot,32.91,40.0,83.33,10.0,6.67,500.0,172.91
2025-03-11,GPT-4,Data Analysis Tool,15.31,40.0,83.33,10.0,6.67,300.0,155.31
2025-03-11,Gemini-Pro,Code Review Assistant,10.22,30.0,60.0,10.0,6.67,333.33,116.89
2025-03-11,Gemini-Pro,Content Generation,29.71,30.0,60.0,10.0,6.67,400.0,136.38
2025-03-11,Gemini-Pro,Customer Support Bot,10.71,30.0,60.0,10.0,6.67,500.0,117.38
2025-03-11,Gemini-Pro,Data Analysis Tool,7.46,30.0,60.0,10.0,6.67,300.0,114.13
2025-03-12,Claude-3.5,Code Review Assistant,14.92,33.33,66.67,10.0,6.67,333.33,131.59
2025-03-12,Claude-3.5,Content Generation,41.85,33.33,66.67,10.0,6.67,400.0,158.52
2025-03-12,Claude-3.5,Customer Support Bot,23.01,33.33,66.67,10.0,6.67,500.0,139.68
2025-03-12,Claude-3.5,Data Analysis Tool,11.76,33.33,66.67,10.0,6.67,300.0,128.43
2025-03-12,Custom Fine-tuned,Code Review Assistant,8.71,26.67,50.0,10.0,6.67,333.33,102.05
2025-03-12,Custom Fine-tuned,Content Generation,20.42,26.67,50.0,10.0,6.67,400.0,113.76
2025-03-12,Custom Fine-tuned,Customer Support Bot,14.04,26.67,50.0,10.0,6.67,500.0,107.38
2025-03-12,Custom Fine-tuned,Data Analysis Tool,6.12,26.67,50.0,10.0,6.67,300.0,99.46
2025-03-12,GPT-4,Code Review Assistant,18.91,40.0,83.33,10.0,6.67,333.33,158.91
2025-03-12,GPT-4,Content Generation,67.98,40.0,83.33,10.0,6.67,400.0,207.98
2025-03-12,GPT-4,Customer Support Bot,33.84,40.0,83.33,10.0,6.67,500.0,173.84
2025-03-12,GPT-4,Data Analysis Tool,15.39,40.0,83.33,10.0,6.67,300.0,155.39
2025-03-12,Gemini-Pro,Code Review Assistant,8.16,30.0,60.0,10.0,6.67,333.33,114.83
2025-03-12,Gemini-Pro,Content Generation,40.52,30.0,60.0,10.0,6.67,400.0,147.19
2025-03-12,Gemini-Pro,Customer Support Bot,14.83,30.0,60.0,10.0,6.67,500.0,121.5
2025-03-12,Gemini-Pro,Data Analysis Tool,11.94,30.0,60.0,10.0,6.67,300.0,118.61
2025-03-13,Claude-3.5,Code Review Assistant,12.79,33.33,66.67,10.0,6.67,333.33,129.46
2025-03-13,Claude-3.5,Content Generation,27.62,33.33,66.67,10.0,6.67,400.0,144.29
2025-03-13,Claude-3.5,Customer Support Bot,18.12,33.33,66.67,10.0,6.67,500.0,134.79
2025-03-13,Claude-3.5,Data Analysis Tool,6.65,33.33,66.67,10.0,6.67,300.0,123.32
2025-03-13,Custom Fine-tuned,Code Review Assistant,10.47,26.67,50.0,10.0,6.67,333.33,103.81
2025-03-13,Custom Fine-tuned,Content Generation,24.78,26.67,50.0,10.0,6.67,400.0,118.12
2025-03-13,Custom Fine-tuned,Customer Support Bot,12.57,26.67,50.0,10.0,6.67,500.0,105.91
2025-03-13,Custom Fine-tuned,Data Analysis Tool,5.86,26.67,50.0,10.0,6.67,300.0,99.2
2025-03-13,GPT-4,Code Review Assistant,14.79,40.0,83.33,10.0,6.67,333.33,154.79
2025-03-13,GPT-4,Content Generation,43.32,40.0,83.33,10.0,6.67,400.0,183.32
2025-03-13,GPT-4,Customer Support Bot,25.35,40.0,83.33,10.0,6.67,500.0,165.35
2025-03-13,GPT-4,Data Analysis Tool,8.61,40.0,83.33,10.0,6.67,300.0,148.61
2025-03-13,Gemini-Pro,Code Review Assistant,9.16,30.0,60.0,10.0,6.67,333.33,115.83
2025-03-13,Gemini-Pro,Content Generation,29.42,30.0,60.0,10.0,6.67,400.0,136.09
2025-03-13,Gemini-Pro,Customer Support Bot,16.2,30.0,60.0,10.0,6.67,500.0,122.87
2025-03-13,Gemini-Pro,Data Analysis Tool,9.42,30.0,60.0,10.0,6.67,300.0,116.09
2025-03-14,Claude-3.5,Code Review Assistant,8.78,33.33,66.67,10.0,6.67,333.33,125.45
2025-03-14,Claude-3.5,Content Generation,40.52,33.33,66.67,10.0,6.67,400.0,157.19
2025-03-14,Claude-3.5,Customer Support Bot,18.53,33.33,66.67,10.0,6.67,500.0,135.2
2025-03-14,Claude-3.5,Data Analysis Tool,11.34,33.33,66.67,10.0,6.67,300.0,128.01
2025-03-14,Custom Fine-tuned,Code Review Assistant,6.86,26.67,50.0,10.0,6.67,333.33,100.2
2025-03-14,Custom Fine-tuned,Content Generation,24.74,26.67,50.0,10.0,6.67,400.0,118.08
2025-03-14,Custom Fine-tuned,Customer Support Bot,16.3,26.67,50.0,10.0,6.67,500.0,109.64
2025-03-14,Custom Fine-tuned,Data Analysis Tool,5.96,26.67,50.0,10.0,6.67,300.0,99.3
2025-03-14,GPT-4,Code Review Assistant,15.67,40.0,83.33,10.0,6.67,333.33,155.67
2025-03-14,GPT-4,Content Generation,63.8,40.0,83.33,10.0,6.67,400.0,203.8
2025-03-14,GPT-4,Customer Support Bot,28.82,40.0,83.33,10.0,6.67,500.0,168.82
2025-03-14,GPT-4,Data Analysis Tool,16.59,40.0,83.33,10.0,6.67,300.0,156.59
2025-03-14,Gemini-Pro,Code Review Assistant,10.2,30.0,60.0,10.0,6.67,333.33,116.87
2025-03-14,Gemini-Pro,Content Generation,29.93,30.0,60.0,10.0,6.67,400.0,136.6
2025-03-14,Gemini-Pro,Customer Support Bot,18.49,30.0,60.0,10.0,6.67,500.0,125.16
2025-03-14,Gemini-Pro,Data Analysis Tool,7.91,30.0,60.0,10.0,6.67,300.0,114.58
2025-03-15,Claude-3.5,Code Review Assistant,8.14,33.33,66.67,10.0,6.67,333.33,124.81
2025-03-15,Claude-3.5,Content Generation,30.31,33.33,66.67,10.0,6.67,400.0,146.98
2025-03-15,Claude-3.5,Customer Support Bot,15.08,33.33,66.67,10.0,6.67,500.0,131.75
2025-03-15,Claude-3.5,Data Analysis Tool,8.27,33.33,66.67,10.0,6.67,300.0,124.94
2025-03-15,Custom Fine-tuned,Code Review Assistant,5.28,26.67,50.0,10.0,6.67,333.33,98.62
2025-03-15,Custom Fine-tuned,Content Generation,22.53,26.67,50.0,10.0,6.67,400.0,115.87
2025-03-15,Custom Fine-tuned,Customer Support Bot,11.58,26.67,50.0,10.0,6.67,500.0,104.92
2025-03-15,Custom Fine-tuned,Data Analysis Tool,4.31,26.67,50.0,10.0,6.67,300.0,97.65
2025-03-15,GPT-4,Code Review Assistant,12.02,40.0,83.33,10.0,6.67,333.33,152.02
2025-03-15,GPT-4,Content Generation,48.27,40.0,83.33,10.0,6.67,400.0,188.27
2025-03-15,GPT-4,Customer Support Bot,26.31,40.0,83.33,10.0,6.67,500.0,166.31
2025-03-15,GPT-4,Data Analysis Tool,9.34,40.0,83.33,10.0,6.67,300.0,149.34
2025-03-15,Gemini-Pro,Code Review Assistant,9.83,30.0,60.0,10.0,6.67,333.33,116.5
2025-03-15,Gemini-Pro,Content Generation,31.93,30.0,60.0,10.0,6.67,400.0,138.6
2025-03-15,Gemini-Pro,Customer Support Bot,16.71,30.0,60.0,10.0,6.67,500.0,123.38
2025-03-15,Gemini-Pro,Data Analysis Tool,6.55,30.0,60.0,10.0,6.67,300.0,113.22
2025-03-16,Claude-3.5,Code Review Assistant,10.99,33.33,66.67,10.0,6.67,333.33,127.66
2025-03-16,Claude-3.5,Content Generation,32.74,33.33,66.67,10.0,6.67,400.0,149.41
2025-03-16,Claude-3.5,Customer Support Bot,13.67,33.33,66.67,10.0,6.67,500.0,130.34
2025-03-16,Claude-3.5,Data Analysis Tool,8.35,33.33,66.67,10.0,6.67,300.0,125.02
2025-03-16,Custom Fine-tuned,Code Review Assistant,8.12,26.67,50.0,10.0,6.67,333.33,101.46
2025-03-16,Custom Fine-tuned,Content Generation,18.15,26.67,50.0,10.0,6.67,400.0,111.49
2025-03-16,Custom Fine-tuned,Customer Support Bot,10.88,26.67,50.0,10.0,6.67,500.0,104.22
2025-03-16,Custom Fine-tuned,Data Analysis Tool,4.67,26.67,50.0,10.0,6.67,300.0,98.01
2025-03-16,GPT-4,Code Review Assistant,17.83,40.0,83.33,10.0,6.67,333.33,157.83
2025-03-16,GPT-4,Content Generation,43.89,40.0,83.33,10.0,6.67,400.0,183.89
2025-03-16,GPT-4,Customer Support Bot,17.87,40.0,83.33,10.0,6.67,500.0,157.87
2025-03-16,GPT-4,Data Analysis Tool,14.06,40.0,83.33,10.0,6.67,300.0,154.06
2025-03-16,Gemini-Pro,Code Review Assistant,6.87,30.0,60.0,10.0,6.67,333.33,113.54
2025-03-16,Gemini-Pro,Content Generation,30.88,30.0,60.0,10.0,6.67,400.0,137.55
2025-03-16,Gemini-Pro,Customer Support Bot,17.61,30.0,60.0,10.0,6.67,500.0,124.28
2025-03-16,Gemini-Pro,Data Analysis Tool,5.78,30.0,60.0,10.0,6.67,300.0,112.45
2025-03-17,Claude-3.5,Code Review Assistant,9.12,33.33,66.67,10.0,6.67,333.33,125.79
2025-03-17,Claude-3.5,Content Generation,37.34,33.33,66.67,10.0,6.67,400.0,154.01
2025-03-17,Claude-3.5,Customer Support Bot,16.68,33.33,66.67,10.0,6.67,500.0,133.35
2025-03-17,Claude-3.5,Data Analysis Tool,7.79,33.33,66.67,10.0,6.67,300.0,124.46
2025-03-17,Custom Fine-tuned,Code Review Assistant,7.47,26.67,50.0,10.0,6.67,333.33,100.81
2025-03-17,Custom Fine-tuned,Content Generation,19.45,26.67,50.0,10.0,6.67,400.0,112.79
2025-03-17,Custom Fine-tuned,Customer Support Bot,11.21,26.67,50.0,10.0,6.67,500.0,104.55
2025-03-17,Custom Fine-tuned,Data Analysis Tool,7.46,26.67,50.0,10.0,6.67,300.0,100.8
2025-03-17,GPT-4,Code Review Assistant,11.1,40.0,83.33,10.0,6.67,333.33,151.1
2025-03-17,GPT-4,Content Generation,54.92,40.0,83.33,10.0,6.67,400.0,194.92
