Date,Model,UseCase,Requests,PromptTokens,CompletionTokens,Accuracy,F1Score,HallucinationRate,LatencyP95ms,Failures
2025-03-07,GPT-4,Customer Support Bot,3280,1039760,747840,0.9144,0.9101,0.0329,1945,19
2025-03-07,GPT-4,Content Generation,1669,963013,1315172,0.9262,0.9001,0.0304,1599,9
2025-03-07,GPT-4,Code Review Assistant,1267,587888,516936,0.9246,0.9025,0.0292,1550,7
2025-03-07,GPT-4,Data Analysis Tool,924,223608,325248,0.9305,0.9102,0.0292,1902,4
2025-03-07,Claude-3.5,Customer Support Bot,3636,836280,738108,0.8954,0.8802,0.0329,1453,19
2025-03-07,Claude-3.5,Content Generation,1924,998556,1481480,0.8956,0.8905,0.0423,1529,12
2025-03-07,Claude-3.5,Code Review Assistant,1170,530010,415350,0.9107,0.8943,0.0322,1711,9
2025-03-07,Claude-3.5,Data Analysis Tool,816,297840,483072,0.8948,0.884,0.033,1457,2
2025-03-07,Gemini-Pro,Customer Support Bot,2833,626093,560934,0.8823,0.8645,0.0481,1250,18
2025-03-07,Gemini-Pro,Content Generation,1611,1063260,998820,0.8838,0.8393,0.0412,1473,8
2025-03-07,Gemini-Pro,Code Review Assistant,1011,372048,309366,0.8744,0.8602,0.0373,1578,7
2025-03-07,Gemini-Pro,Data Analysis Tool,742,238182,296800,0.8863,0.8484,0.0413,1172,5
2025-03-07,Custom Fine-tuned,Customer Support Bot,2792,656120,589112,0.9133,0.9013,0.028,1501,13
2025-03-07,Custom Fine-tuned,Content Generation,1318,703812,1046492,0.9279,0.8961,0.0219,1233,6
2025-03-07,Custom Fine-tuned,Code Review Assistant,1277,469936,402255,0.9204,0.904,0.028,1477,7
2025-03-07,Custom Fine-tuned,Data Analysis Tool,810,282690,423630,0.9151,0.8886,0.03,1375,5
2025-03-08,GPT-4,Customer Support Bot,2925,745875,725400,0.9118,0.879,0.0316,1740,14
2025-03-08,GPT-4,Content Generation,1559,941636,907338,0.9275,0.9053,0.0327,2124,7
2025-03-08,GPT-4,Code Review Assistant,1045,516230,358435,0.9228,0.9008,0.0326,1827,4
2025-03-08,GPT-4,Data Analysis Tool,847,214291,390467,0.913,0.8892,0.0357,1571,3
2025-03-08,Claude-3.5,Customer Support Bot,3268,807196,578436,0.9188,0.9038,0.0274,1170,18
2025-03-08,Claude-3.5,Content Generation,1305,865215,1094895,0.8944,0.8754,0.0287,1630,7
2025-03-08,Claude-3.5,Code Review Assistant,1147,384245,278721,0.8931,0.8696,0.0349,1536,5
2025-03-08,Claude-3.5,Data Analysis Tool,635,231140,280670,0.9112,0.8867,0.0365,1568,3
2025-03-08,Gemini-Pro,Customer Support Bot,2849,851851,589743,0.8871,0.8491,0.0398,1616,11
2025-03-08,Gemini-Pro,Content Generation,1371,645741,1124220,0.8732,0.8721,0.0447,1302,5
2025-03-08,Gemini-Pro,Code Review Assistant,876,222504,209364,0.8876,0.8681,0.0442,1463,3
2025-03-08,Gemini-Pro,Data Analysis Tool,688,169936,402480,0.8888,0.8892,0.0391,1404,3
2025-03-08,Custom Fine-tuned,Customer Support Bot,2466,552384,392094,0.9072,0.8815,0.0338,1296,10
2025-03-08,Custom Fine-tuned,Content Generation,1482,1012206,1198938,0.9035,0.8772,0.0284,1259,9
2025-03-08,Custom Fine-tuned,Code Review Assistant,957,351219,422994,0.912,0.89,0.0351,1096,7
2025-03-08,Custom Fine-tuned,Data Analysis Tool,607,168746,255547,0.9142,0.8728,0.0273,1113,3
2025-03-09,GPT-4,Customer Support Bot,3488,927808,701088,0.9212,0.9179,0.0326,1646,16
2025-03-09,GPT-4,Content Generation,1591,1046878,1148702,0.9357,0.9053,0.0232,1580,8
2025-03-09,GPT-4,Code Review Assistant,1191,443052,506175,0.9196,0.9154,0.0287,1932,7
2025-03-09,GPT-4,Data Analysis Tool,877,317474,344661,0.924,0.9107,0.032,1839,3
2025-03-09,Claude-3.5,Customer Support Bot,2819,825967,622999,0.8963,0.8937,0.0389,1072,18
2025-03-09,Claude-3.5,Content Generation,1400,698600,828800,0.9116,0.8868,0.0324,1551,6
2025-03-09,Claude-3.5,Code Review Assistant,976,315248,408944,0.8951,0.8666,0.0273,1435,7
2025-03-09,Claude-3.5,Data Analysis Tool,701,199084,295121,0.9208,0.8984,0.0365,1564,4
2025-03-09,Gemini-Pro,Customer Support Bot,2608,631136,513776,0.8796,0.8604,0.044,1407,15
2025-03-09,Gemini-Pro,Content Generation,1387,582540,1312102,0.8835,0.8649,0.0453,965,11
2025-03-09,Gemini-Pro,Code Review Assistant,1019,343403,399448,0.8695,0.8473,0.0375,1687,4
2025-03-09,Gemini-Pro,Data Analysis Tool,748,240856,346324,0.8836,0.8531,0.0523,1391,3
2025-03-09,Custom Fine-tuned,Customer Support Bot,2808,825552,631800,0.8986,0.8861,0.0332,1028,15
2025-03-09,Custom Fine-tuned,Content Generation,1292,812668,1099492,0.9142,0.8846,0.0328,1268,5
2025-03-09,Custom Fine-tuned,Code Review Assistant,970,316220,379270,0.917,0.8958,0.0232,1406,4
2025-03-09,Custom Fine-tuned,Data Analysis Tool,638,191400,223938,0.8956,0.8971,0.0331,1072,2
2025-03-10,GPT-4,Customer Support Bot,3276,655200,868140,0.9301,0.9133,0.026,2137,21
2025-03-10,GPT-4,Content Generation,1350,1088100,778950,0.9035,0.8779,0.035,2165,9
2025-03-10,GPT-4,Code Review Assistant,1271,573221,512213,0.9228,0.9056,0.0301,1790,4
2025-03-10,GPT-4,Data Analysis Tool,747,220365,269667,0.909,0.9047,0.0307,2008,4
2025-03-10,Claude-3.5,Customer Support Bot,2995,853575,479200,0.8978,0.8911,0.0378,1354,15
2025-03-10,Claude-3.5,Content Generation,1607,1009196,875815,0.9044,0.8708,0.0348,1582,8
2025-03-10,Claude-3.5,Code Review Assistant,1154,431596,413132,0.9054,0.8921,0.0351,1506,4
2025-03-10,Claude-3.5,Data Analysis Tool,735,277830,248430,0.8931,0.8606,0.0315,1634,3
2025-03-10,Gemini-Pro,Customer Support Bot,2937,763620,487542,0.9015,0.8773,0.034,1446,17
2025-03-10,Gemini-Pro,Content Generation,1589,934332,1282323,0.8785,0.8722,0.0452,1731,6
2025-03-10,Gemini-Pro,Code Review Assistant,1070,592780,313510,0.8964,0.8601,0.0485,1316,6
2025-03-10,Gemini-Pro,Data Analysis Tool,779,225910,309263,0.8699,0.8576,0.0374,1216,3
2025-03-10,Custom Fine-tuned,Customer Support Bot,3044,581404,648372,0.9183,0.9104,0.0147,1256,20
2025-03-10,Custom Fine-tuned,Content Generation,1785,1137045,1226295,0.9094,0.8986,0.0276,1211,10
2025-03-10,Custom Fine-tuned,Code Review Assistant,1037,326655,354654,0.901,0.8749,0.0213,1385,6
2025-03-10,Custom Fine-tuned,Data Analysis Tool,681,194085,380679,0.9114,0.8945,0.0364,1258,3
2025-03-11,GPT-4,Customer Support Bot,3546,865224,808488,0.9296,0.9045,0.0255,1600,7
2025-03-11,GPT-4,Content Generation,1601,650006,1380062,0.9449,0.9259,0.0291,1925,8
2025-03-11,GPT-4,Code Review Assistant,1310,500420,482080,0.9232,0.9108,0.0262,1948,6
2025-03-11,GPT-4,Data Analysis Tool,948,245532,428496,0.9199,0.8917,0.035,1871,4
2025-03-11,Claude-3.5,Customer Support Bot,3787,1022490,757400,0.8869,0.8688,0.0299,1454,15
2025-03-11,Claude-3.5,Content Generation,1719,1112193,1354572,0.9049,0.8863,0.0352,1203,6
2025-03-11,Claude-3.5,Code Review Assistant,1002,435870,457914,0.9122,0.8956,0.0337,1723,5
2025-03-11,Claude-3.5,Data Analysis Tool,802,229372,332830,0.9017,0.8698,0.0358,1500,4
2025-03-11,Gemini-Pro,Customer Support Bot,3449,669106,334553,0.8893,0.8874,0.0334,1366,11
2025-03-11,Gemini-Pro,Content Generation,1707,1140276,1206849,0.8541,0.8323,0.0382,1458,4
2025-03-11,Gemini-Pro,Code Review Assistant,1078,467852,385924,0.8703,0.8596,0.0466,1376,5
2025-03-11,Gemini-Pro,Data Analysis Tool,774,201240,335916,0.8971,0.8792,0.0332,1157,5
2025-03-11,Custom Fine-tuned,Customer Support Bot,2775,799200,485625,0.9283,0.9143,0.0278,1126,22
2025-03-11,Custom Fine-tuned,Content Generation,1643,1028518,1656144,0.9256,0.9124,0.0246,1086,9
2025-03-11,Custom Fine-tuned,Code Review Assistant,1225,499800,396900,0.9118,0.8984,0.018,1054,8
2025-03-11,Custom Fine-tuned,Data Analysis Tool,684,221616,380304,0.9172,0.8822,0.0296,1086,1
2025-03-12,GPT-4,Customer Support Bot,3387,812880,856911,0.9256,0.8963,0.0318,2124,13
2025-03-12,GPT-4,Content Generation,1810,1129440,1889640,0.9251,0.9135,0.0322,1960,8
2025-03-12,GPT-4,Code Review Assistant,1074,302868,529482,0.909,0.8808,0.0287,1758,5
2025-03-12,GPT-4,Data Analysis Tool,977,266721,424018,0.9228,0.8955,0.0283,2041,5
2025-03-12,Claude-3.5,Customer Support Bot,3545,1042230,733815,0.887,0.8612,0.0373,1402,14
2025-03-12,Claude-3.5,Content Generation,1921,1154521,1630929,0.917,0.9146,0.0359,1890,11
2025-03-12,Claude-3.5,Code Review Assistant,1225,516950,539000,0.9067,0.8952,0.0342,1316,5
2025-03-12,Claude-3.5,Data Analysis Tool,805,262430,483000,0.9039,0.89,0.0289,1566,5
2025-03-12,Gemini-Pro,Customer Support Bot,3107,776750,521976,0.8865,0.8709,0.0397,1462,11
2025-03-12,Gemini-Pro,Content Generation,1737,983142,1869012,0.876,0.8736,0.0416,1539,4
2025-03-12,Gemini-Pro,Code Review Assistant,915,434625,284565,0.9056,0.8655,0.0371,1427,6
2025-03-12,Gemini-Pro,Data Analysis Tool,976,345504,528992,0.8859,0.866,0.0442,1317,3
2025-03-12,Custom Fine-tuned,Customer Support Bot,2924,681292,663748,0.9196,0.9015,0.0251,1421,9
2025-03-12,Custom Fine-tuned,Content Generation,1420,613440,1116120,0.9088,0.8702,0.0324,1294,4
2025-03-12,Custom Fine-tuned,Code Review Assistant,1144,496496,382096,0.9004,0.865,0.0231,1363,8
2025-03-12,Custom Fine-tuned,Data Analysis Tool,727,181023,335874,0.8923,0.8883,0.0268,1177,3
2025-03-13,GPT-4,Customer Support Bot,3679,846170,562887,0.8913,0.8758,0.03,2065,27
2025-03-13,GPT-4,Content Generation,1691,1085622,1082240,0.923,0.9051,0.0334,1984,8
2025-03-13,GPT-4,Code Review Assistant,1094,382900,365396,0.9237,0.9064,0.0341,1679,7
2025-03-13,GPT-4,Data Analysis Tool,898,238868,207438,0.9288,0.9037,0.0331,1757,4
2025-03-13,Claude-3.5,Customer Support Bot,2805,645150,647955,0.8875,0.8678,0.0367,1296,15
2025-03-13,Claude-3.5,Content Generation,1433,1008832,977306,0.8919,0.8713,0.0362,1672,4
2025-03-13,Claude-3.5,Code Review Assistant,1188,523908,430056,0.8963,0.9055,0.0309,1512,4
2025-03-13,Claude-3.5,Data Analysis Tool,892,303280,211404,0.8899,0.8772,0.0383,1808,4
2025-03-13,Gemini-Pro,Customer Support Bot,3092,930692,538008,0.872,0.8358,0.0381,1257,16
2025-03-13,Gemini-Pro,Content Generation,1672,964744,1259016,0.8644,0.8124,0.0451,1388,7
2025-03-13,Gemini-Pro,Code Review Assistant,1112,393648,355840,0.8915,0.8782,0.0407,1184,7
2025-03-13,Gemini-Pro,Data Analysis Tool,961,334428,393049,0.8928,0.8813,0.0405,1527,5
2025-03-13,Custom Fine-tuned,Customer Support Bot,2783,801504,517638,0.906,0.8966,0.0201,1263,22
2025-03-13,Custom Fine-tuned,Content Generation,1533,1114491,1206471,0.9145,0.8847,0.0194,1264,7
2025-03-13,Custom Fine-tuned,Code Review Assistant,1141,633255,444990,0.9133,0.8962,0.0257,1147,6
2025-03-13,Custom Fine-tuned,Data Analysis Tool,777,278943,278943,0.9214,0.9075,0.0312,1182,1
2025-03-14,GPT-4,Customer Support Bot,3953,984297,632480,0.915,0.8986,0.0339,1882,18
2025-03-14,GPT-4,Content Generation,1729,892164,1829282,0.9168,0.9011,0.0358,2028,11
2025-03-14,GPT-4,Code Review Assistant,1248,496704,356928,0.9232,0.9012,0.0236,1978,5
2025-03-14,GPT-4,Data Analysis Tool,925,266400,464350,0.9153,0.8759,0.0341,1598,4
2025-03-14,Claude-3.5,Customer Support Bot,2992,670208,658240,0.9018,0.8707,0.0367,1573,17
2025-03-14,Claude-3.5,Content Generation,1780,1028840,1614460,0.919,0.9002,0.034,1353,11
2025-03-14,Claude-3.5,Code Review Assistant,892,401400,278304,0.8991,0.8834,0.0367,1528,5
2025-03-14,Claude-3.5,Data Analysis Tool,898,258624,463368,0.9062,0.8781,0.0302,1662,3
2025-03-14,Gemini-Pro,Customer Support Bot,3265,1038270,623615,0.8765,0.8727,0.0404,1354,20
2025-03-14,Gemini-Pro,Content Generation,1449,728847,1379448,0.8971,0.8655,0.0395,1374,7
2025-03-14,Gemini-Pro,Code Review Assistant,979,405306,409222,0.885,0.8582,0.0412,1550,0
2025-03-14,Gemini-Pro,Data Analysis Tool,757,164269,375472,0.8937,0.8606,0.0394,1542,5
2025-03-14,Custom Fine-tuned,Customer Support Bot,3462,958974,702786,0.894,0.8757,0.0239,1073,28
2025-03-14,Custom Fine-tuned,Content Generation,1548,1004652,1247688,0.927,0.9202,0.0213,1229,6
2025-03-14,Custom Fine-tuned,Code Review Assistant,957,379929,305283,0.9031,0.8755,0.0179,1187,2
2025-03-14,Custom Fine-tuned,Data Analysis Tool,771,180414,325362,0.9025,0.8813,0.0265,1401,1
2025-03-15,GPT-4,Customer Support Bot,2927,804925,608816,0.9125,0.8923,0.0282,1680,19
2025-03-15,GPT-4,Content Generation,1820,1081080,1248520,0.9049,0.8798,0.0209,1562,9
2025-03-15,GPT-4,Code Review Assistant,858,388674,271128,0.9215,0.9104,0.0376,1934,3
2025-03-15,GPT-4,Data Analysis Tool,600,160200,258000,0.9101,0.8966,0.0291,1811,2
2025-03-15,Claude-3.5,Customer Support Bot,2873,764218,448188,0.9141,0.8918,0.0342,1502,17
2025-03-15,Claude-3.5,Content Generation,1592,995000,1117584,0.9036,0.8857,0.0292,1516,7
2025-03-15,Claude-3.5,Code Review Assistant,956,274372,297316,0.9009,0.8896,0.0358,1345,6
2025-03-15,Claude-3.5,Data Analysis Tool,797,254243,311627,0.9178,0.9045,0.0287,1637,5
2025-03-15,Gemini-Pro,Customer Support Bot,3050,732000,643550,0.8826,0.8801,0.0397,1521,18
2025-03-15,Gemini-Pro,Content Generation,1556,700200,1501540,0.8913,0.8734,0.0347,1338,5
2025-03-15,Gemini-Pro,Code Review Assistant,889,396494,392049,0.894,0.882,0.0373,1368,2
2025-03-15,Gemini-Pro,Data Analysis Tool,754,280488,254852,0.8741,0.8498,0.0404,1442,2
2025-03-15,Custom Fine-tuned,Customer Support Bot,2408,599592,532168,0.9101,0.8938,0.0226,1183,11
2025-03-15,Custom Fine-tuned,Content Generation,1266,940638,1125474,0.907,0.8833,0.0283,1149,8
2025-03-15,Custom Fine-tuned,Code Review Assistant,857,365082,205680,0.8987,0.8564,0.0191,1221,6
2025-03-15,Custom Fine-tuned,Data Analysis Tool,691,222502,198317,0.9046,0.8893,0.021,1106,3
2025-03-16,GPT-4,Customer Support Bot,2386,663308,374602,0.9224,0.9053,0.0399,1662,2
2025-03-16,GPT-4,Content Generation,1698,1317648,1023894,0.925,0.92,0.0272,1784,15
2025-03-16,GPT-4,Code Review Assistant,1045,447260,445170,0.921,0.9044,0.0311,1741,5
2025-03-16,GPT-4,Data Analysis Tool,812,229796,392196,0.9197,0.8871,0.0352,1792,1
2025-03-16,Claude-3.5,Customer Support Bot,2570,578250,452320,0.9137,0.8915,0.024,1970,16
2025-03-16,Claude-3.5,Content Generation,1445,903125,1275935,0.9065,0.888,0.0376,1513,6
2025-03-16,Claude-3.5,Code Review Assistant,950,444600,371450,0.8706,0.8545,0.0389,1529,4
2025-03-16,Claude-3.5,Data Analysis Tool,808,276336,307040,0.9041,0.8754,0.0301,1293,3
2025-03-16,Gemini-Pro,Customer Support Bot,2932,788708,671428,0.8852,0.8576,0.0371,1464,18
2025-03-16,Gemini-Pro,Content Generation,1540,1021020,1318240,0.8907,0.8782,0.0401,1267,7
2025-03-16,Gemini-Pro,Code Review Assistant,856,334696,251664,0.8769,0.8651,0.031,1431,4
2025-03-16,Gemini-Pro,Data Analysis Tool,733,250686,223565,0.8724,0.8543,0.0367,1259,4
2025-03-16,Custom Fine-tuned,Customer Support Bot,2461,428214,553725,0.8976,0.8907,0.0253,1241,17
2025-03-16,Custom Fine-tuned,Content Generation,907,558712,986816,0.9224,0.9121,0.0256,1126,5
2025-03-16,Custom Fine-tuned,Code Review Assistant,908,390440,384992,0.9376,0.9353,0.0262,1123,4
2025-03-16,Custom Fine-tuned,Data Analysis Tool,605,170005,243210,0.9115,0.8916,0.0207,1368,3
2025-03-17,GPT-4,Customer Support Bot,3385,863175,788705,0.9113,0.8995,0.0265,1754,10
2025-03-17,GPT-4,Content Generation,1714,1162092,1443188,0.9219,0.903,0.0338,1779,9
2025-03-17,GPT-4,Code Review Assistant,1231,449315,220349,0.9187,0.8863,0.0367,1938,7
2025-03-17,GPT-4,Data Analysis Tool,907,279356,357358,0.9168,0.9013,0.0327,1980,4
2025-03-17,Claude-3.5,Customer Support Bot,3325,904400,472150,0.877,0.8585,0.0327,1316,14
2025-03-17,Claude-3.5,Content Generation,1632,1191360,1390464,0.903,0.8838,0.0381,1329,10
2025-03-17,Claude-3.5,Code Review Assistant,1216,407360,293056,0.9082,0.8769,0.0367,1364,4
