Date,Model,UseCase,TimeSavedHours,ValueGeneratedUSD,CostAvoidedUSD,RiskIncidents,CSATDeltaPct
2025-03-04,Custom Fine-tuned,Code Review Assistant,37.4,1683.2,5.54,0,0.0189
2025-03-04,Custom Fine-tuned,Content Generation,111.29,5008.15,12.55,1,0.0055
2025-03-04,Custom Fine-tuned,Customer Support Bot,145.3,6538.35,22.9,0,0.0154
2025-03-04,Custom Fine-tuned,Data Analysis Tool,46.94,2112.12,4.98,0,0.0192
2025-03-04,GPT-4,Code Review Assistant,41.74,1878.36,6.59,0,0.0252
2025-03-04,GPT-4,Content Generation,96.78,4355.1,12.15,0,0.0264
2025-03-04,GPT-4,Customer Support Bot,162.12,7295.59,16.82,0,0.0273
2025-03-04,GPT-4,Data Analysis Tool,59.95,2697.85,6.88,0,0.0144
2025-03-04,Gemini-Pro,Code Review Assistant,43.48,1956.71,4.78,0,0.0089
2025-03-04,Gemini-Pro,Content Generation,96.99,4364.33,3.04,0,0.0078
2025-03-04,Gemini-Pro,Customer Support Bot,146.26,6581.87,14.76,2,0.0263
2025-03-04,Gemini-Pro,Data Analysis Tool,44.57,2005.77,2.29,0,0.0125
2025-03-05,Claude-3.5,Code Review Assistant,48.02,2160.7,4.43,0,0.02
2025-03-05,Claude-3.5,Content Generation,117.17,5272.59,10.46,0,0.0054
2025-03-05,Claude-3.5,Customer Support Bot,123.03,5536.24,11.56,0,0.0163
2025-03-05,Claude-3.5,Data Analysis Tool,45.97,2068.45,3.29,0,0.0163
2025-03-05,Custom Fine-tuned,Code Review Assistant,48.67,2190.05,8.25,0,0.0132
2025-03-05,Custom Fine-tuned,Content Generation,95.64,4304.02,12.12,0,0.0226
2025-03-05,Custom Fine-tuned,Customer Support Bot,120.85,5438.05,16.53,1,0.0255
2025-03-05,Custom Fine-tuned,Data Analysis Tool,49.17,2212.87,4.63,0,0.0217
2025-03-05,GPT-4,Code Review Assistant,50.55,2274.96,7.48,0,0.0107
2025-03-05,GPT-4,Content Generation,93.34,4200.49,10.28,0,0.0314
2025-03-05,GPT-4,Customer Support Bot,170.33,7664.85,19.13,0,0.0288
2025-03-05,GPT-4,Data Analysis Tool,54.3,2443.35,4.29,0,0.0183
2025-03-05,Gemini-Pro,Code Review Assistant,45.8,2061.15,4.7,0,0.0041
2025-03-05,Gemini-Pro,Content Generation,100.0,4500.16,5.05,0,0.034
2025-03-05,Gemini-Pro,Customer Support Bot,157.96,7107.99,11.67,0,0.0194
2025-03-05,Gemini-Pro,Data Analysis Tool,56.96,2563.16,3.1,0,0.0287
2025-03-06,Claude-3.5,Code Review Assistant,50.34,2265.49,7.47,1,0.0148
2025-03-06,Claude-3.5,Content Generation,113.0,5084.95,11.44,0,0.0247
2025-03-06,Claude-3.5,Customer Support Bot,157.38,7082.1,19.52,0,0.0237
2025-03-06,Claude-3.5,Data Analysis Tool,57.81,2601.38,4.87,0,0.0446
2025-03-06,Custom Fine-tuned,Code Review Assistant,38.39,1727.46,6.13,0,0.0176
2025-03-06,Custom Fine-tuned,Content Generation,99.07,4458.12,12.26,0,0.0211
2025-03-06,Custom Fine-tuned,Customer Support Bot,151.58,6821.15,27.21,0,0.0227
2025-03-06,Custom Fine-tuned,Data Analysis Tool,47.44,2134.77,4.23,1,0.0148
2025-03-06,GPT-4,Code Review Assistant,49.69,2235.95,7.97,0,0.0258
2025-03-06,GPT-4,Content Generation,109.77,4939.55,11.25,0,0.0148
2025-03-06,GPT-4,Customer Support Bot,166.8,7506.01,21.17,0,0.0409
2025-03-06,GPT-4,Data Analysis Tool,55.71,2507.0,7.35,0,0.0195
2025-03-06,Gemini-Pro,Code Review Assistant,45.35,2040.86,4.21,0,0.0244
2025-03-06,Gemini-Pro,Content Generation,93.74,4218.44,5.88,0,0.0287
2025-03-06,Gemini-Pro,Customer Support Bot,130.66,5879.85,16.17,0,0.0175
2025-03-06,Gemini-Pro,Data Analysis Tool,49.52,2228.36,2.67,0,0.0253
2025-03-07,Claude-3.5,Code Review Assistant,48.22,2169.92,6.51,0,0.0352
2025-03-07,Claude-3.5,Content Generation,118.07,5313.24,6.81,0,0.0241
2025-03-07,Claude-3.5,Customer Support Bot,178.49,8032.04,19.71,1,0.0188
2025-03-07,Claude-3.5,Data Analysis Tool,53.39,2402.72,4.41,0,0.0264
2025-03-07,Custom Fine-tuned,Code Review Assistant,52.88,2379.51,8.17,0,0.0256
2025-03-07,Custom Fine-tuned,Content Generation,82.16,3697.21,10.04,0,0.031
2025-03-07,Custom Fine-tuned,Customer Support Bot,138.26,6221.59,17.87,0,0.014
2025-03-07,Custom Fine-tuned,Data Analysis Tool,53.53,2408.73,4.86,0,0.0273
2025-03-07,GPT-4,Code Review Assistant,52.57,2365.67,7.8,0,0.0221
2025-03-07,GPT-4,Content Generation,103.96,4677.99,9.88,0,-0.0009
2025-03-07,GPT-4,Customer Support Bot,162.51,7312.93,17.78,1,0.0234
2025-03-07,GPT-4,Data Analysis Tool,61.52,2768.23,5.69,0,0.039
2025-03-07,Gemini-Pro,Code Review Assistant,40.93,1842.0,4.59,0,0.0108
2025-03-07,Gemini-Pro,Content Generation,98.29,4423.21,6.06,0,0.0185
2025-03-07,Gemini-Pro,Customer Support Bot,138.18,6218.11,6.74,0,0.0232
2025-03-07,Gemini-Pro,Data Analysis Tool,48.35,2175.75,2.78,0,0.0259
2025-03-08,Claude-3.5,Code Review Assistant,46.87,2109.09,5.76,0,0.0298
2025-03-08,Claude-3.5,Content Generation,80.04,3601.72,8.17,0,0.0113
2025-03-08,Claude-3.5,Customer Support Bot,162.26,7301.71,21.31,1,0.0205
2025-03-08,Claude-3.5,Data Analysis Tool,41.88,1884.76,2.98,0,0.0231
2025-03-08,Custom Fine-tuned,Code Review Assistant,39.47,1776.0,4.77,0,0.0215
2025-03-08,Custom Fine-tuned,Content Generation,91.3,4108.44,9.37,0,0.0374
2025-03-08,Custom Fine-tuned,Customer Support Bot,121.75,5478.9,12.92,0,0.0294
2025-03-08,Custom Fine-tuned,Data Analysis Tool,40.1,1804.28,3.97,0,0.017
2025-03-08,GPT-4,Code Review Assistant,43.32,1949.47,5.73,0,0.0085
2025-03-08,GPT-4,Content Generation,97.16,4372.41,8.51,0,0.0186
2025-03-08,GPT-4,Customer Support Bot,144.74,6513.23,16.61,0,0.0348
2025-03-08,GPT-4,Data Analysis Tool,55.92,2516.2,4.12,0,0.0104
2025-03-08,Gemini-Pro,Code Review Assistant,35.7,1606.44,2.77,0,0.0054
2025-03-08,Gemini-Pro,Content Generation,83.21,3744.64,4.2,0,0.011
2025-03-08,Gemini-Pro,Customer Support Bot,139.29,6267.99,11.51,0,0.0092
2025-03-08,Gemini-Pro,Data Analysis Tool,44.89,2019.88,2.88,0,0.0108
2025-03-09,Claude-3.5,Code Review Assistant,39.92,1796.42,6.38,0,0.0017
2025-03-09,Claude-3.5,Content Generation,86.59,3896.42,7.73,0,0.0233
2025-03-09,Claude-3.5,Customer Support Bot,138.44,6230.0,11.9,0,0.0237
2025-03-09,Claude-3.5,Data Analysis Tool,46.45,2090.35,3.29,0,0.0204
2025-03-09,Custom Fine-tuned,Code Review Assistant,40.1,1804.49,7.14,0,0.008
2025-03-09,Custom Fine-tuned,Content Generation,80.01,3600.38,7.03,0,0.0152
2025-03-09,Custom Fine-tuned,Customer Support Bot,138.06,6212.67,15.05,0,0.0236
2025-03-09,Custom Fine-tuned,Data Analysis Tool,41.76,1879.33,3.43,0,0.0247
2025-03-09,GPT-4,Code Review Assistant,49.3,2218.4,7.46,0,0.0045
2025-03-09,GPT-4,Content Generation,99.55,4479.77,11.71,0,0.0242
2025-03-09,GPT-4,Customer Support Bot,173.38,7802.29,19.11,0,0.0151
2025-03-09,GPT-4,Data Analysis Tool,58.2,2619.21,4.91,0,0.0223
2025-03-09,Gemini-Pro,Code Review Assistant,41.16,1852.08,4.59,0,0.004
2025-03-09,Gemini-Pro,Content Generation,84.61,3807.63,4.08,0,0.0022
2025-03-09,Gemini-Pro,Customer Support Bot,127.04,5716.65,8.35,0,0.016
2025-03-09,Gemini-Pro,Data Analysis Tool,48.68,2190.43,1.15,0,0.0173
2025-03-10,Claude-3.5,Code Review Assistant,47.44,2134.74,5.75,0,0.012
2025-03-10,Claude-3.5,Content Generation,99.04,4456.92,8.1,0,0.0357
2025-03-10,Claude-3.5,Customer Support Bot,147.2,6623.81,13.3,0,0.0125
2025-03-10,Claude-3.5,Data Analysis Tool,48.05,2162.42,4.19,1,0.0119
2025-03-10,Custom Fine-tuned,Code Review Assistant,42.54,1914.2,8.03,0,0.006
2025-03-10,Custom Fine-tuned,Content Generation,110.28,4962.64,11.57,0,0.0277
2025-03-10,Custom Fine-tuned,Customer Support Bot,151.1,6799.58,27.58,0,0.0202
2025-03-10,Custom Fine-tuned,Data Analysis Tool,44.92,2021.49,3.21,0,0.0104
2025-03-10,GPT-4,Code Review Assistant,52.69,2371.08,7.6,0,0.0158
2025-03-10,GPT-4,Content Generation,83.17,3742.5,6.75,0,0.0326
2025-03-10,GPT-4,Customer Support Bot,163.55,7359.56,22.28,0,0.0144
2025-03-10,GPT-4,Data Analysis Tool,49.22,2214.83,4.38,0,0.0156
2025-03-10,Gemini-Pro,Code Review Assistant,43.79,1970.68,2.46,0,0.0265
2025-03-10,Gemini-Pro,Content Generation,96.7,4351.44,4.7,0,0.0152
2025-03-10,Gemini-Pro,Customer Support Bot,144.61,6507.28,15.27,0,0.018
2025-03-10,Gemini-Pro,Data Analysis Tool,50.35,2265.84,3.52,0,0.0186
2025-03-11,Claude-3.5,Code Review Assistant,41.33,1859.69,5.27,0,0.0283
2025-03-11,Claude-3.5,Content Generation,105.97,4768.7,8.53,1,0.0049
2025-03-11,Claude-3.5,Customer Support Bot,185.13,8330.84,22.8,0,0.0114
2025-03-11,Claude-3.5,Data Analysis Tool,52.65,2369.47,3.88,0,0.0286
2025-03-11,Custom Fine-tuned,Code Review Assistant,50.51,2273.13,10.29,0,0.0163
2025-03-11,Custom Fine-tuned,Content Generation,102.31,4603.78,11.63,0,0.012
2025-03-11,Custom Fine-tuned,Customer Support Bot,138.41,6228.67,17.87,0,0.0144
2025-03-11,Custom Fine-tuned,Data Analysis Tool,45.25,2036.11,4.16,0,0.016
2025-03-11,GPT-4,Code Review Assistant,54.32,2444.3,8.86,0,0.009
2025-03-11,GPT-4,Content Generation,100.62,4527.81,9.89,0,0.0371
2025-03-11,GPT-4,Customer Support Bot,176.98,7964.2,24.47,0,0.0064
2025-03-11,GPT-4,Data Analysis Tool,62.79,2825.66,4.74,0,0.0272
2025-03-11,Gemini-Pro,Code Review Assistant,43.56,1960.1,2.89,0,0.0196
2025-03-11,Gemini-Pro,Content Generation,102.63,4618.35,7.44,0,0.0173
2025-03-11,Gemini-Pro,Customer Support Bot,168.81,7596.23,18.35,0,0.0228
2025-03-11,Gemini-Pro,Data Analysis Tool,50.7,2281.62,4.15,0,0.0176
2025-03-12,Claude-3.5,Code Review Assistant,50.39,2267.51,6.32,0,0.026
2025-03-12,Claude-3.5,Content Generation,119.12,5360.45,9.26,1,0.0204
2025-03-12,Claude-3.5,Customer Support Bot,173.31,7798.86,16.09,0,0.0266
2025-03-12,Claude-3.5,Data Analysis Tool,52.91,2380.88,5.01,0,0.0185
2025-03-12,Custom Fine-tuned,Code Review Assistant,46.91,2111.09,8.44,0,0.0315
2025-03-12,Custom Fine-tuned,Content Generation,87.7,3946.72,7.84,0,0.0174
2025-03-12,Custom Fine-tuned,Customer Support Bot,145.24,6535.63,20.41,0,0.0146
2025-03-12,Custom Fine-tuned,Data Analysis Tool,47.51,2138.04,4.83,0,0.0188
2025-03-12,GPT-4,Code Review Assistant,44.23,1990.23,6.72,0,0.027
2025-03-12,GPT-4,Content Generation,112.68,5070.51,10.06,0,0.0305
2025-03-12,GPT-4,Customer Support Bot,168.72,7592.46,19.1,0,0.0222
2025-03-12,GPT-4,Data Analysis Tool,64.8,2916.18,6.19,0,0.0228
2025-03-12,Gemini-Pro,Code Review Assistant,37.62,1692.79,4.19,0,0.0404
2025-03-12,Gemini-Pro,Content Generation,105.57,4750.87,6.39,0,0.0277
2025-03-12,Gemini-Pro,Customer Support Bot,151.86,6833.6,12.61,0,0.0149
2025-03-12,Gemini-Pro,Data Analysis Tool,63.59,2861.34,3.08,0,0.0045
2025-03-13,Claude-3.5,Code Review Assistant,48.62,2187.9,6.91,0,0.0103
2025-03-13,Claude-3.5,Content Generation,87.78,3950.16,6.82,0,0.0164
2025-03-13,Claude-3.5,Customer Support Bot,137.16,6172.4,13.07,0,0.006
2025-03-13,Claude-3.5,Data Analysis Tool,58.23,2620.21,3.87,0,0.0249
2025-03-13,Custom Fine-tuned,Code Review Assistant,47.08,2118.8,7.83,0,0.0145
2025-03-13,Custom Fine-tuned,Content Generation,94.95,4272.59,12.45,0,0.0262
2025-03-13,Custom Fine-tuned,Customer Support Bot,137.32,6179.6,22.21,0,0.0199
2025-03-13,Custom Fine-tuned,Data Analysis Tool,51.5,2317.65,4.48,0,0.0133
2025-03-13,GPT-4,Code Review Assistant,45.37,2041.77,5.67,0,0.0168
2025-03-13,GPT-4,Content Generation,105.16,4732.35,9.0,0,0.0268
2025-03-13,GPT-4,Customer Support Bot,180.24,8110.74,22.07,0,0.0186
2025-03-13,GPT-4,Data Analysis Tool,59.74,2688.14,4.83,0,0.0202
2025-03-13,Gemini-Pro,Code Review Assistant,45.4,2043.13,4.29,0,0.0244
2025-03-13,Gemini-Pro,Content Generation,101.04,4546.9,4.98,0,0.016
2025-03-13,Gemini-Pro,Customer Support Bot,150.05,6752.19,13.54,0,0.026
2025-03-13,Gemini-Pro,Data Analysis Tool,62.82,2826.91,3.75,0,0.0247
2025-03-14,Claude-3.5,Code Review Assistant,36.56,1645.02,4.16,0,0.0141
2025-03-14,Claude-3.5,Content Generation,110.48,4971.81,9.26,1,0.0041
2025-03-14,Claude-3.5,Customer Support Bot,147.34,6630.1,13.94,0,0.0316
2025-03-14,Claude-3.5,Data Analysis Tool,59.09,2658.91,5.35,0,0.0161
2025-03-14,Custom Fine-tuned,Code Review Assistant,39.3,1768.34,8.06,0,0.0077
2025-03-14,Custom Fine-tuned,Content Generation,96.46,4340.51,11.98,1,0.0325
2025-03-14,Custom Fine-tuned,Customer Support Bot,169.83,7642.43,25.0,0,0.0305
2025-03-14,Custom Fine-tuned,Data Analysis Tool,50.64,2278.77,5.17,0,0.0276
2025-03-14,GPT-4,Code Review Assistant,51.75,2328.62,9.09,0,0.0152
2025-03-14,GPT-4,Content Generation,107.2,4824.22,8.37,0,0.0326
2025-03-14,GPT-4,Customer Support Bot,195.91,8815.98,20.63,0,0.0227
2025-03-14,GPT-4,Data Analysis Tool,61.13,2750.98,4.79,0,0.0211
2025-03-14,Gemini-Pro,Code Review Assistant,39.85,1793.04,3.68,0,0.0181
2025-03-14,Gemini-Pro,Content Generation,88.99,4004.43,5.94,0,0.0146
2025-03-14,Gemini-Pro,Customer Support Bot,158.8,7145.84,12.8,0,0.0058
2025-03-14,Gemini-Pro,Data Analysis Tool,49.51,2227.8,3.12,0,0.0069
2025-03-15,Claude-3.5,Code Review Assistant,39.21,1764.59,4.63,0,0.0246
2025-03-15,Claude-3.5,Content Generation,98.08,4413.6,9.81,1,0.035
2025-03-15,Claude-3.5,Customer Support Bot,142.32,6404.57,14.82,1,0.0295
2025-03-15,Claude-3.5,Data Analysis Tool,52.74,2373.17,4.99,0,0.0276
2025-03-15,Custom Fine-tuned,Code Review Assistant,35.11,1580.16,7.01,0,0.0226
2025-03-15,Custom Fine-tuned,Content Generation,78.12,3515.62,8.03,0,0.0343
2025-03-15,Custom Fine-tuned,Customer Support Bot,119.06,5357.58,18.01,0,0.0292
2025-03-15,Custom Fine-tuned,Data Analysis Tool,45.43,2044.41,5.39,1,0.0066
2025-03-15,GPT-4,Code Review Assistant,35.55,1599.61,3.84,0,0.0328
2025-03-15,GPT-4,Content Generation,112.2,5048.89,14.23,0,0.0163
2025-03-15,GPT-4,Customer Support Bot,144.89,6519.89,18.62,0,0.005
2025-03-15,GPT-4,Data Analysis Tool,39.55,1779.93,3.71,0,0.0252
2025-03-15,Gemini-Pro,Code Review Assistant,36.34,1635.4,4.04,0,0.0158
2025-03-15,Gemini-Pro,Content Generation,95.29,4287.95,7.87,0,0.0346
2025-03-15,Gemini-Pro,Customer Support Bot,148.79,6695.38,12.38,0,0.0241
2025-03-15,Gemini-Pro,Data Analysis Tool,48.84,2197.69,2.96,0,0.0323
2025-03-16,Claude-3.5,Code Review Assistant,38.39,1727.61,4.01,0,0.0248
2025-03-16,Claude-3.5,Content Generation,89.15,4011.72,6.47,0,0.0316
2025-03-16,Claude-3.5,Customer Support Bot,127.29,5728.01,18.5,0,0.025
2025-03-16,Claude-3.5,Data Analysis Tool,53.11,2389.99,4.83,0,0.0289
2025-03-16,Custom Fine-tuned,Code Review Assistant,37.91,1705.99,6.14,0,0.0157
2025-03-16,Custom Fine-tuned,Content Generation,56.39,2537.55,6.24,0,0.03
2025-03-16,Custom Fine-tuned,Customer Support Bot,120.94,5442.28,17.08,0,0.0069
2025-03-16,Custom Fine-tuned,Data Analysis Tool,39.91,1795.98,4.76,0,0.0205
2025-03-16,GPT-4,Code Review Assistant,43.28,1947.78,6.04,0,0.0164
2025-03-16,GPT-4,Content Generation,105.7,4756.52,11.14,0,0.0249
2025-03-16,GPT-4,Customer Support Bot,118.67,5340.33,9.59,0,0.0179
2025-03-16,GPT-4,Data Analysis Tool,53.78,2420.06,4.03,0,0.0095
2025-03-16,Gemini-Pro,Code Review Assistant,34.7,1561.52,4.96,0,0.0044
2025-03-16,Gemini-Pro,Content Generation,94.28,4242.62,6.13,0,0.0073
2025-03-16,Gemini-Pro,Customer Support Bot,143.21,6444.58,13.43,0,0.0212
2025-03-16,Gemini-Pro,Data Analysis Tool,47.44,2134.68,3.42,0,0.0203
2025-03-17,Claude-3.5,Code Review Assistant,50.06,2252.49,5.67,0,0.0164
2025-03-17,Claude-3.5,Content Generation,100.51,4523.17,7.15,0,0.0248
2025-03-17,Claude-3.5,Customer Support Bot,161.75,7278.96,18.15,0,0.0161
2025-03-17,Claude-3.5,Data Analysis Tool,49.55,2229.8,4.04,0,0.0244
2025-03-17,Custom Fine-tuned,Code Review Assistant,37.53,1689.02,4.98,0,0.0221
2025-03-17,Custom Fine-tuned,Content Generation,94.45,4250.44,11.34,0,0.0285
2025-03-17,Custom Fine-tuned,Customer Support Bot,143.19,6443.65,20.7,1,0.0365
2025-03-17,Custom Fine-tuned,Data Analysis Tool,49.22,2215.04,5.5,0,0.0149
2025-03-17,GPT-4,Code Review Assistant,50.93,2291.91,5.74,0,0.0223
2025-03-17,GPT-4,Content Generation,106.54,4794.17,8.98,0,0.0142
2025-03-17,GPT-4,Customer Support Bot,167.46,7535.7,22.68,0,0.0281
2025-03-17,GPT-4,Data Analysis Tool,59.99,2699.41,4.95,0,0.0167
2025-03-17,Gemini-Pro,Code Review Assistant,46.98,2114.05,3.75,0,0.018
2025-03-17,Gemini-Pro,Content Generation,122.25,5501.35,7.8,0,0.0323
2025-03-17,Gemini-Pro,Customer Support Bot,153.67,6914.95,13.03,0,0.015
2025-03-17,Gemini-Pro,Data Analysis Tool,52.75,2373.86,3.03,0,0.0164
2025-03-18,Claude-3.5,Code Review Assistant,43.54,1959.17,7.28,0,0.0219
2025-03-18,Claude-3.5,Content Generation,100.43,4519.34,8.73,1,0.0082
2025-03-18,Claude-3.5,Customer Support Bot,158.89,7149.95,13.33,0,0.0151
2025-03-18,Claude-3.5,Data Analysis Tool,45.16,2032.28,3.44,0,0.03
2025-03-18,Custom Fine-tuned,Code Review Assistant,39.7,1786.44,6.71,0,-0.0002
2025-03-18,Custom Fine-tuned,Content Generation,77.81,3501.23,9.44,0,0.0194
2025-03-18,Custom Fine-tuned,Customer Support Bot,136.37,6136.73,17.53,0,0.0252
2025-03-18,Custom Fine-tuned,Data Analysis Tool,52.16,2347.01,4.72,0,0.0068
2025-03-18,GPT-4,Code Review Assistant,59.51,2677.88,8.1,0,0.0077
2025-03-18,GPT-4,Content Generation,86.89,3909.99,9.11,0,0.0382
2025-03-18,GPT-4,Customer Support Bot,145.92,6566.27,18.44,0,0.0277
2025-03-18,GPT-4,Data Analysis Tool,69.91,3145.88,7.41,0,0.0341
2025-03-18,Gemini-Pro,Code Review Assistant,47.75,2148.84,4.11,0,0.0267
2025-03-18,Gemini-Pro,Content Generation,97.49,4387.05,8.64,0,0.0224
2025-03-18,Gemini-Pro,Customer Support Bot,153.88,6924.78,7.13,0,0.0345
2025-03-18,Gemini-Pro,Data Analysis Tool,56.28,2532.55,3.84,0,0.0201
2025-03-19,Claude-3.5,Code Review Assistant,49.96,2248.21,6.55,0,0.0188
2025-03-19,Claude-3.5,Content Generation,82.13,3695.65,5.74,0,0.0276
2025-03-19,Claude-3.5,Customer Support Bot,171.2,7704.19,14.94,0,0.0288
2025-03-19,Claude-3.5,Data Analysis Tool,50.52,2273.48,4.35,0,0.0254
2025-03-19,Custom Fine-tuned,Code Review Assistant,44.04,1982.02,6.39,0,0.0142
2025-03-19,Custom Fine-tuned,Content Generation,102.98,4634.16,13.6,0,0.031
2025-03-19,Custom Fine-tuned,Customer Support Bot,136.28,6132.4,14.79,0,0.0151
2025-03-19,Custom Fine-tuned,Data Analysis Tool,42.64,1918.7,3.83,0,0.0212
2025-03-19,GPT-4,Code Review Assistant,52.25,2351.29,7.71,0,0.0149
2025-03-19,GPT-4,Content Generation,114.56,5155.11,9.68,0,0.0142
2025-03-19,GPT-4,Customer Support Bot,208.38,9376.89,23.26,0,0.0015
2025-03-19,GPT-4,Data Analysis Tool,63.7,2866.56,7.31,0,0.0202
2025-03-19,Gemini-Pro,Code Review Assistant,43.77,1969.67,3.25,0,0.0203
2025-03-19,Gemini-Pro,Content Generation,95.19,4283.4,7.65,0,0.0359
2025-03-19,Gemini-Pro,Customer Support Bot,135.95,6117.72,10.46,0,0.011
2025-03-19,Gemini-Pro,Data Analysis Tool,44.37,1996.8,3.29,0,0.0171
2025-03-20,Claude-3.5,Code Review Assistant,43.71,1966.73,5.91,0,0.018
2025-03-20,Claude-3.5,Content Generation,97.2,4374.12,8.28,0,0.0243
2025-03-20,Claude-3.5,Customer Support Bot,177.79,8000.74,15.61,2,0.0169
2025-03-20,Claude-3.5,Data Analysis Tool,56.03,2521.35,4.68,0,0.0252
2025-03-20,Custom Fine-tuned,Code Review Assistant,52.06,2342.63,7.6,0,0.0111
2025-03-20,Custom Fine-tuned,Content Generation,103.79,4670.43,13.03,0,0.0208
2025-03-20,Custom Fine-tuned,Customer Support Bot,176.49,7942.12,23.09,0,0.0231
2025-03-20,Custom Fine-tuned,Data Analysis Tool,60.01,2700.42,8.81,0,0.0316
2025-03-20,GPT-4,Code Review Assistant,45.56,2050.36,6.76,0,0.0272
2025-03-20,GPT-4,Content Generation,131.72,5927.26,13.99,0,0.0222
2025-03-20,GPT-4,Customer Support Bot,173.12,7790.53,21.64,0,0.0134
2025-03-20,GPT-4,Data Analysis Tool,56.23,2530.47,5.1,0,0.0416
